id,version,deviceId,syncStatus,syncedAt,createdAt,updatedAt,pointNumber,worker,lat,lon,xLocal,yLocal,intensity,flowRate,waterColor,wall,domain,status,comment,photoUrls,monitoringDate,measureMethod,horizon,,
1774526179251-mobaind-zl70,4,mobaind,synced,2026-04-17T04:49:47.162Z,2026-03-26T11:56:19.251Z,2026-04-17T04:49:47.162Z,2,Юкин Р.А.,"52,744243","33,2415998","46261,3721","16316,3773",Сильная (поток),8,Мутная,Юго-западный,Domen-5,Паводковая,,"[""https://drive.google.com/uc?export=view&id=1uTdBg0h5pP6E2zyUlfIeWT9GIKR6vYHD""]",28.03.2026,Визуальный (примерный),275,,
1774526279482-mobaind-2wmq,3,mobaind,synced,2026-04-17T04:49:20.917Z,2026-03-26T11:57:59.482Z,2026-04-17T04:49:20.917Z,4,Юкин Р.А.,"52,744235","33,2433152","46260,477","16432,2298",Сильная (поток),5,Мутная,Юго-западный,Domen-5,Паводковая,,"[""https://drive.google.com/uc?export=view&id=1Ea-GnhGvXss1Ycfrz4xEEFg3FKwEWMEO""]",28.03.2026,Визуальный (примерный),275,,
1774526509981-mobaind-5dpz,4,mobaind,synced,2026-04-17T04:55:44.567Z,2026-03-26T12:01:49.981Z,2026-04-17T04:55:44.567Z,5,Юкин Р.А.,"52,7474804","33,2482172","46621,6441","16762,0427",Умеренная,4,Прозрачная,Северо-восточный,Domen-1,Паводковая,"Новая точка высачивания появилась в свявзи с инфильтрацией паводковых вод, протекающих на вышележащих горизонтах. Дебит определен визуально (опасность: участок движения ТС)","[""https://drive.google.com/uc?export=view&id=1yX_Ls7NWQhcBXU2eCaxsLxN9krnUw3PF""]",28.03.2026,Визуальный (примерный),300,,
1774600534904-dskprsv-djpc,11,dskprsv,synced,2026-04-18T12:29:53.363Z,2026-03-27T08:35:34.904Z,2026-04-18T12:29:53.363Z,3,Юкин Р.А.,"52,47282","69,68764","46730,527","16057,792",Умеренная,"3,7",Прозрачная,Юго-западный,Domen-3,Активная,"Подтопляемый участок за счёт активного естественного водопроявления, Объем водопритока рассчитан примерно. Видимый водоприток прослеживается в 1 точке из всего участка.","[""https://drive.google.com/uc?export=view&id=1EAxXD2pUjB7ZembamYaXNY4skVproe06""]",28.03.2026,Визуальный (примерный),330,,
1774756269277-dskprsv-x73h,4,dskprsv,synced,2026-04-17T04:50:17.909Z,2026-03-29T03:51:09.277Z,2026-04-17T04:50:17.909Z,1,Юкин Р.А.,"52,4743139","69,681155","46286,8958","16223,4493",Умеренная,"0,34",Прозрачная,Юго-западный,Domen-5,Паводковая,,"[""https://drive.google.com/uc?export=view&id=11TlsUf2SUsncg9wBfreSUhDy1JgXdgzd""]",28.03.2026,Визуальный (примерный),275,,
1774756822949-dskprsv-nrri,3,dskprsv,synced,2026-04-17T04:55:09.813Z,2026-03-29T04:00:22.949Z,2026-04-17T04:55:09.813Z,7,Юкин Р.А.,"52,4786987","69,6869856","46678,4971","16711,3833",Умеренная,"1,1",Слабожелтоватая,Северо-восточный,Domen-1,Паводковая,Новая точка водопритока открылась за счёт инфильтрации паводковых вод с дорожного полотна (вышележащие горизонты).,"[""https://drive.google.com/uc?export=view&id=1WHqQXL4w_kXEiHjWPRIWhxqrDp9CJvZ1""]",28.03.2026,Объемным методом,290,,
1774757124086-dskprsv-12eg,5,dskprsv,synced,2026-04-17T04:54:53.182Z,2026-03-29T04:05:24.086Z,2026-04-17T04:54:53.182Z,8,Юкин Р.А.,"52,4780351","69,6888426","46805,3885","16637,5347",Слабая (капёж),"0,05",Слабожелтоватая,Северо-восточный,Domen-1,Паводковая,Инфильтрация паводковых вод с вышележащих горизонтов,"[""https://drive.google.com/uc?export=view&id=1AKm2csptx_sSidg3kqDXrkz11kfBuNyq""]",28.03.2026,Объемным методом,290,,
1774757398226-dskprsv-fey0,5,dskprsv,synced,2026-04-17T04:54:31.970Z,2026-03-29T04:09:58.226Z,2026-04-17T04:54:31.970Z,9,Юкин Р.А.,"52,4769549","69,6902151","46899,8046","16517,3324",Умеренная,"0,37",Мутная,Северо-восточный,Domen-2,Новая,Водопроявление за счёт миграции паводковых вод с вышележащих горизонтов. Проходит по границе доменов и литологической границы. Водонасыщение бортов. Возможен вывал.,"[""https://drive.google.com/uc?export=view&id=1IhciH6xVmLYYb_vb0CZWiMs3USV7sMFI""]",28.03.2026,Объемным методом,300,,
1774758179912-dskprsv-94w5,7,dskprsv,synced,2026-04-16T10:38:16.562Z,2026-03-29T04:22:59.912Z,2026-04-16T10:38:16.562Z,10,Юкин Р.А.,"52,4744933","69,6887613","46803,6173","16243,4168",Умеренная,"0,45",Прозрачная,Юго-восточный,Domen-2,Перелив,"Точка перелива с вышележащего горизонта. Обледенелый. Замер дебита невозможен, определён визуально. Борта увлажнены. скопление воды не прослеживается","[""https://drive.google.com/uc?export=view&id=1tbEywOdlx8Oe5yU3IEZQ9U-owOhN4ac9""]",28.03.2026,Визуальный (примерный),280,,
1774758510411-dskprsv-09qy,7,dskprsv,synced,2026-03-30T09:04:41.650Z,2026-03-29T04:28:30.411Z,2026-03-30T09:04:41.650Z,11,Юкин Р.А.,"52,4775351","69,6857567","46596,2199","16581,8986",Слабая (капёж),"0,37",Прозрачная,Северо-восточный,Domen-5,Активная,"Борта увлажнены, водоприток замерить не удалось (капёж)","[""https://drive.google.com/uc?export=view&id=1fAIlpc5ls5NbVpFoqfoY71oZiA7lpTMH""]",28.03.2026,,220,,
1774758810013-dskprsv-5cg1,6,dskprsv,synced,2026-04-17T04:53:31.450Z,2026-03-29T04:33:30.013Z,2026-04-17T04:53:31.450Z,12,Юкин Р.А.,"52,4748846","69,6850994","46554,3531","16286,9597",Умеренная,"1,5",Прозрачная,Юго-западный,Domen-3,Активная,Водоприток горизонтальной скважины. Дебит рассчитан приблизительный. Скважина остается активной. Скобления воды на берме не прослеживается. Борта слабоувлажнены.,"[""https://drive.google.com/uc?export=view&id=1hxhQHH7GTKBOMTH68Aaer9e1cvJqW_u7""]",28.03.2026,Визуальный (примерный),220,,
